year,Pop/Rock,R&B;,Country,Jazz,Vocal,Latin,Classical,Folk,International
1926,3.0,0,0,13.5,1.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,1.0,1.0,0.0,8.125,4.176470588235294,0,0.5,0,2.2222222222222223,0,0,0,0,0,0,0,0,0,0,0
1936,0,0.0,0,3.238095238095238,11.621387283236995,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,0.0,3.0,5.173913043478261,8.485148514851485,4.592356687898089,1.0,0.007692307692307693,0,3.0833333333333335,0,0,0,0,0,0,0,0,0,0,0
1946,3.072289156626506,7.0,3.5,4.336448598130841,12.490291262135923,0.4444444444444444,0.45714285714285713,0.3333333333333333,1.5263157894736843,0,0,0,0,0,0,0,0,0,0,0
1951,0.8333333333333334,4.230769230769231,8.191919191919192,5.507462686567164,9.650137741046832,12.037383177570094,0.9567099567099567,16.733333333333334,1.2564102564102564,0,0,0,0,0,0,0,0,0,0,0
1956,4.875,8.146341463414634,10.76063829787234,10.758652094717668,11.652575957727873,9.470588235294118,4.843881856540085,6.185714285714286,1.5222551928783383,0,0,0,0,0,0,0,0,0,0,0
1961,26.204761904761906,20.820247933884296,18.189555125725338,18.30651945320715,19.75625,21.613636363636363,16.123222748815166,14.186170212765957,13.74712643678161,0,0,0,0,0,0,0,0,0,0,0
1966,27.074282786885245,24.18253079507279,21.517826825127333,21.201666666666668,22.935194416749752,24.831858407079647,19.151785714285715,21.6731843575419,21.370967741935484,0,0,0,0,0,0,0,0,0,0,0
1971,33.10841121495327,31.62526997840173,27.632,28.65988372093023,31.662735849056602,31.88936170212766,26.733333333333334,28.398496240601503,33.3134328358209,0,0,0,0,0,0,0,0,0,0,0
1976,35.163347376484104,34.51800766283525,31.698387096774194,32.356,35.333333333333336,35.85537190082645,33.43333333333333,32.62643678160919,31.838709677419356,0,0,0,0,0,0,0,0,0,0,0
1981,35.99701381112355,35.47784810126582,32.49740034662045,32.8671875,35.99166666666667,40.96734693877551,32.795918367346935,30.487179487179485,37.467532467532465,0,0,0,0,0,0,0,0,0,0,0
1986,36.13276151407794,36.888563049853374,33.446623093681914,34.992592592592594,36.96,41.325,33.885416666666664,29.133333333333333,38.2265625,0,0,0,0,0,0,0,0,0,0,0
1991,38.8676532769556,39.2620232172471,35.7678916827853,35.12359550561798,38.37795275590551,43.78303747534517,41.955555555555556,34.885714285714286,40.73873873873874,0,0,0,0,0,0,0,0,0,0,0
1996,43.110013351134846,43.839586028460545,40.737096774193546,41.44166666666667,41.529411764705884,46.96779388083736,44.74418604651163,34.8,43.10526315789474,0,0,0,0,0,0,0,0,0,0,0
2001,46.20432336393248,45.78219013237064,43.88727272727273,44.04705882352941,45.58536585365854,49.731818181818184,46.65384615384615,40.648648648648646,45.94285714285714,0,0,0,0,0,0,0,0,0,0,0
2006,49.06590788777131,49.44814340588989,46.9797794117647,46.741379310344826,49.014925373134325,53.785145888594165,48.57692307692308,46.55172413793103,49.84615384615385,0,0,0,0,0,0,0,0,0,0,0
2011,51.46907950983186,52.189490445859875,49.61575562700965,48.85,52.64102564102564,56.925233644859816,54.3,46.0,54.45161290322581,0,0,0,0,0,0,0,0,0,0,0
2016,56.842791411042946,56.88030888030888,54.436144578313254,51.92857142857143,56.714285714285715,59.66883116883117,56.333333333333336,47.625,54.6,0,0,0,0,0,0,0,0,0,0,0
2021,66.61984126984127,66.08374384236453,64.73160173160173,67.5,77.0,58.263803680981596,62.5,0,60.0,0,0,0,0,0,0,0,0,0,0,0
