year,genre,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity,cnt
1926,Pop/Rock,0.521,0.539,0.8059999999999999,93.412,-9.161,1.0,4.0,0.9690000000000001,0.000575,0.946,0.508,180813.0,3.0,1
1931,Pop/Rock,0.47512499999999996,0.1582375,0.32249999999999995,122.26925,-14.007375000000001,0.5,5.25,0.889625,0.00242025125,0.1155375,0.058850000000000006,174035.75,1.0,8
1941,Pop/Rock,0.575,0.495,0.726,143.95,-13.492,1.0,1.0,0.267,0.0,0.28300000000000003,0.055999999999999994,136707.0,0.0,1
1946,Pop/Rock,0.4588795180722892,0.42193855421686727,0.62529156626506,112.07621686746985,-11.3544578313253,0.5783132530120482,4.72289156626506,0.6871409638554216,0.02076650843373494,0.21555060240963855,0.04237951807228915,159284.578313253,3.072289156626506,83
1951,Pop/Rock,0.5135,0.3347,0.645,102.64533333333333,-14.031,0.8333333333333334,7.166666666666667,0.8759999999999999,0.21933116833333335,0.23916666666666667,0.09983333333333334,158948.16666666666,0.8333333333333334,6
1956,Pop/Rock,0.67025,0.6609999999999999,0.8430000000000001,104.99425000000001,-8.40275,1.0,6.5,0.7371249999999999,0.12129379375,0.154575,0.2192875,113246.875,4.875,8
1961,Pop/Rock,0.5485539682539683,0.48600365079365115,0.6815733333333328,115.30386507936502,-11.14079682539683,0.8682539682539683,4.7253968253968255,0.6841800793650795,0.05314026079365082,0.18908095238095238,0.057153174603174484,149017.66666666666,26.204761904761906,630
1966,Pop/Rock,0.5212530737704923,0.5566552100409838,0.6853615266393474,121.85387961065571,-10.090201844262298,0.8360655737704918,5.147540983606557,0.519996009118852,0.0875648881762295,0.21530819672131155,0.052187243852458924,157991.8155737705,27.074282786885245,1952
1971,Pop/Rock,0.48317337487019824,0.5190240477673936,0.551470633437176,118.70137881619927,-11.32364652128763,0.787331256490135,5.197092419522326,0.40030484075597134,0.1075885069968847,0.21572116303219122,0.05107293873312556,223752.71775700935,33.10841121495327,4815
1976,Pop/Rock,0.4904981424741491,0.5418664726158567,0.5581128686327095,121.82236901570283,-11.492998276522387,0.793757181156645,5.007659900421294,0.3784720440425116,0.09795889945614714,0.22615181922634975,0.053348353121409384,257827.8291842206,35.163347376484104,5222
1981,Pop/Rock,0.5156092198581561,0.6364614983202701,0.5766022583053395,125.73568085106378,-9.982681784247836,0.7569988801791714,5.122247107129526,0.23514192910600928,0.10093644723217628,0.24410365808137335,0.058057297499066685,248098.41937290033,35.99701381112355,5358
1986,Pop/Rock,0.5173617191870212,0.6914406658586583,0.5643790788737647,125.79019746410543,-9.954040835353346,0.700727204922618,5.2616073093417866,0.17857334063024513,0.11396576603953039,0.22360290881968994,0.05885774752936797,245408.3056125303,36.13276151407794,5363
1991,Pop/Rock,0.5001412262156457,0.7023190380549704,0.5192391754756855,123.67378160676515,-9.821589429175486,0.7243128964059197,5.3249471458773785,0.16895043098308707,0.09733077145031722,0.22648860465116297,0.05711031712473573,256816.1492600423,38.8676532769556,4730
1996,Pop/Rock,0.48383212283044136,0.6776876152202944,0.4854064619492656,123.46037757009374,-9.25953858477971,0.7551401869158878,5.258477970627504,0.17473789780507354,0.12109592687850486,0.21345166889185554,0.0587535380507344,256461.77810413885,43.110013351134846,3745
2001,Pop/Rock,0.5086684927450407,0.7161743382291973,0.5014044714243404,122.01040183594905,-7.497572105419027,0.7281610897246077,5.260882440035535,0.1723772061830024,0.09779481599052409,0.21908309150133257,0.06517379330766958,246373.56114894876,46.20432336393248,3377
2006,Pop/Rock,0.5070691900476436,0.7402137268395995,0.4836646903123342,126.19174960296465,-6.408270513499191,0.7040762308099524,5.232133403917417,0.16650211119639982,0.07537213440444679,0.1989219428268925,0.0654563525674962,239190.44150344096,49.06590788777131,3778
2011,Pop/Rock,0.517752550584213,0.7472614135081214,0.4772374750641204,127.07811855229374,-5.920551439156454,0.6896551724137931,5.222285551439157,0.16016519579937263,0.0541805704046736,0.20232125961812505,0.06563790253633522,239340.66144200627,51.46907950983186,3509
2016,Pop/Rock,0.547877070552148,0.6972799846625761,0.45800743865030685,122.88521587423313,-6.338181748466268,0.6721625766871165,5.075920245398773,0.1970858809662576,0.042888601963190165,0.18902565184049114,0.06371319018404902,234056.82323619633,56.842791411042946,2608
2021,Pop/Rock,0.5963896825396825,0.6147528571428561,0.44742603174603146,118.95443650793658,-6.687082539682534,0.6587301587301587,5.2896825396825395,0.2546912129365081,0.025962007650793664,0.17712198412698427,0.07754452380952379,219727.55714285714,66.61984126984127,1260
1931,R&B;,0.6705,0.642,0.8145,103.00999999999999,-11.271999999999998,0.0,5.0,0.6695,0.24839999999999998,0.1085,0.050350000000000006,153913.0,1.0,2
1936,R&B;,0.556,0.47600000000000003,0.73,171.03400000000002,-6.766,1.0,10.0,0.9590000000000001,0.0024,0.242,0.0778,132733.0,0.0,1
1941,R&B;,0.648,0.35600000000000004,0.529,86.735,-13.917,0.0,7.0,0.8959999999999999,3.5600000000000005e-05,0.11,0.0837,186160.0,3.0,1
1946,R&B;,0.5106666666666667,0.4093333333333333,0.34900000000000003,100.135,-9.241999999999999,0.3333333333333333,6.333333333333333,0.6233333333333333,0.0043369333333333334,0.11066666666666668,0.052333333333333336,201706.66666666666,7.0,3
1951,R&B;,0.438,0.18703846153846154,0.30766923076923075,113.99569230769232,-14.192846153846151,0.6923076923076923,5.153846153846154,0.9146923076923078,0.07397397692307693,0.22893846153846154,0.05190769230769231,170612.38461538462,4.230769230769231,13
1956,R&B;,0.42280487804878053,0.09326829268292681,0.20811463414634146,102.91634146341467,-17.641000000000002,0.8048780487804879,5.365853658536586,0.9646097560975609,0.030913779024390242,0.21532926829268292,0.06718048780487805,144039.1219512195,8.146341463414634,41
1961,R&B;,0.5027789256198346,0.40799359504132204,0.6128078512396692,114.67631198347107,-11.111097107438004,0.8471074380165289,5.270661157024794,0.7509419628099175,0.012925440206611561,0.21054421487603314,0.057059710743801624,164774.64049586776,20.820247933884296,484
1966,R&B;,0.5435610302351627,0.47210291153415473,0.6570040313549836,119.35839081746903,-10.099502799552079,0.7984322508398656,4.952967525195969,0.6280000548712198,0.01928841172452408,0.24259148936170238,0.050163381858902525,169154.96976483762,24.18253079507279,893
1971,R&B;,0.5724805615550755,0.5113605831533479,0.6758869330453573,119.28394708423325,-10.828697624190065,0.7613390928725702,5.215982721382289,0.3941105356371486,0.046160812980561565,0.20432580993520483,0.0535965442764579,197158.7019438445,31.62526997840173,926
1976,R&B;,0.5784536398467427,0.5474816858237553,0.6478114176245207,116.83456091954028,-10.954930268199233,0.6114942528735632,5.190804597701149,0.4150742015325674,0.08280865532567057,0.21279203065134114,0.06518091954022981,263427.6337164751,34.51800766283525,1305
1981,R&B;,0.6381234177215188,0.5910413502109712,0.6940108649789031,117.7793575949367,-11.173818565400854,0.5833333333333334,5.336497890295359,0.29610051497890316,0.06720746817510552,0.19081613924050608,0.06327858649789034,298709.0411392405,35.47784810126582,948
1986,R&B;,0.6957697947214081,0.5761253665689146,0.6884266862170084,116.54165835777121,-10.52157038123167,0.5967741935483871,5.422287390029325,0.2548581052785922,0.03048786945747799,0.16624193548387087,0.05900190615835777,305362.26832844573,36.888563049853374,682
1991,R&B;,0.6583466003316744,0.5504477611940296,0.6346051409618569,115.82079104477623,-11.334945273631844,0.6218905472636815,5.597014925373134,0.3021645406301827,0.027048118756218906,0.1652850746268656,0.05212686567164176,282026.3101160862,39.2620232172471,603
1996,R&B;,0.6504489003880974,0.5485579560155234,0.5869011642949546,117.03907503234151,-9.996890038809823,0.6028460543337646,5.60025873221216,0.2898013981888743,0.03379180432082797,0.17578163001293634,0.06106248382923673,267785.2302716688,43.839586028460545,773
2001,R&B;,0.683783393501805,0.5449780986762933,0.5812596871239472,112.45711552346555,-8.42027196149218,0.5150421179302046,5.345367027677497,0.2557191395908544,0.01828385672683515,0.18282081829121538,0.09038363417569194,268972.1311672683,45.78219013237064,831
2006,R&B;,0.6916683738796416,0.5956862996158767,0.6149436619718307,113.58469526248406,-7.260577464788732,0.5390524967989757,5.678617157490397,0.23716173111395647,0.011197294417413572,0.17449483994878334,0.11823828425096021,254899.24071702946,49.44814340588989,781
2011,R&B;,0.648179936305733,0.6425270700636949,0.5523974522292989,116.69861783439494,-6.516277070063693,0.606687898089172,5.472929936305732,0.20756286464968166,0.01057395407643311,0.18947722929936325,0.11606560509554159,239724.4108280255,52.189490445859875,628
2016,R&B;,0.6040250965250966,0.5959519305019308,0.40936969111969107,118.8750559845561,-7.287727799227806,0.4826254826254826,5.328185328185328,0.25216260810810803,0.015452876621621623,0.21017123552123548,0.11781814671814672,249329.54247104248,56.88030888030888,518
2021,R&B;,0.6329999999999997,0.560698522167487,0.4281921182266014,117.54936453201964,-7.418916256157637,0.4975369458128079,5.192118226600985,0.29988034236453237,0.011675328423645317,0.17063423645320183,0.1357987684729065,218312.83251231528,66.08374384236453,406
1931,Country,0.449,0.32799999999999996,0.852,77.717,-12.29,1.0,10.0,0.759,4.12e-06,0.18899999999999997,0.0353,139053.0,0.0,1
1941,Country,0.6346739130434782,0.28389130434782606,0.6719565217391301,126.04641304347822,-12.549130434782608,0.9782608695652174,6.782608695652174,0.8981304347826082,0.06457220130434782,0.2121934782608695,0.04921739130434783,166450.69565217392,5.173913043478261,46
1946,Country,0.28535,0.1357,0.12154999999999999,104.376,-20.282,0.5,5.5,0.8955,0.135,0.14250000000000002,0.05725,306986.5,3.5,2
1951,Country,0.6285959595959597,0.33200202020202024,0.6887979797979796,127.99201010101004,-11.591707070707063,0.9595959595959596,5.474747474747475,0.7567373737373739,0.03611488515151517,0.18963030303030312,0.048663636363636374,169155.8686868687,8.191919191919192,99
1956,Country,0.6048244680851064,0.392122340425532,0.7027606382978728,117.78080851063841,-11.565712765957443,0.9414893617021277,5.207446808510638,0.6973713829787237,0.020369441063829787,0.1885861702127659,0.0471313829787234,159713.43085106384,10.76063829787234,188
1961,Country,0.5989535783365564,0.4169410058027081,0.6924522243713723,119.18911992263061,-10.922624758220495,0.9148936170212766,5.729206963249516,0.7206232108317212,0.057020239709864605,0.1863139264990329,0.054749903288201174,151318.73694390716,18.189555125725338,517
1966,Country,0.5696740237691001,0.3870066213921903,0.6330747028862483,115.39526485568761,-12.093704584040765,0.9371816638370118,5.213921901528013,0.6990558879456709,0.07761960561969444,0.18671171477079782,0.04833446519524617,157419.65365025468,21.517826825127333,589
1971,Country,0.5428200000000003,0.39526499999999987,0.6198477999999997,113.867292,-12.598689999999992,0.934,5.324,0.6421410600000003,0.02851966816,0.25293299999999996,0.08000940000000016,166656.3,27.632,500
1976,Country,0.5708387096774196,0.4294349999999997,0.6281080645161289,114.71328064516136,-12.555287096774192,0.9612903225806452,5.162903225806452,0.5772529838709686,0.045865825806451585,0.1873937096774192,0.045419677419354924,188649.55,31.698387096774194,620
1981,Country,0.582745233968804,0.4528045060658579,0.6070431542461014,115.88967590987872,-12.479790294627383,0.925476603119584,5.034662045060658,0.47758468630849216,0.05700679029462737,0.21111993067590956,0.04632149046793761,201782.2287694974,32.49740034662045,577
1986,Country,0.62417211328976,0.42050087145969534,0.6050577342047925,117.16217429193902,-13.628915032679753,0.9433551198257081,5.350762527233115,0.37314289760348585,0.006051714074074074,0.16093986928104573,0.03893267973856214,197758.94335511982,33.446623093681914,459
1991,Country,0.6127930367504836,0.46098239845261085,0.6085798839458416,120.73578916827849,-12.693870406189554,0.9555125725338491,5.4854932301740815,0.39271015473887805,0.01181850551257254,0.15732727272727248,0.04029709864603483,204514.8413926499,35.7678916827853,517
1996,Country,0.6211290322580645,0.5244325806451615,0.6155670967741942,123.46132903225798,-10.458841935483886,0.95,5.496774193548387,0.3755421596774196,0.0037462042419354807,0.1655222580645161,0.036862741935483875,204710.14516129033,40.737096774193546,620
2001,Country,0.5996290909090913,0.5438041818181819,0.5601447272727271,121.58845272727268,-9.14958727272728,0.9418181818181818,5.352727272727273,0.37533536363636316,0.014919286618181819,0.17774109090909082,0.03664145454545453,213136.59454545454,43.88727272727273,550
2006,Country,0.5743308823529407,0.6047902573529411,0.5383768382352936,122.57850183823535,-7.805976102941183,0.9393382352941176,5.3400735294117645,0.3209926856617645,0.002542854025735295,0.18892959558823508,0.04080680147058823,225040.01286764705,46.9797794117647,544
2011,Country,0.5758890675241161,0.6519212218649524,0.54678729903537,124.9316205787783,-6.833265273311896,0.9131832797427653,5.403536977491961,0.292516504823151,0.008973797604501607,0.18170289389067518,0.040192765273311865,223842.38263665594,49.61575562700965,622
2016,Country,0.5631951807228921,0.7302171084337343,0.5606667469879516,129.22660000000008,-5.702980722891567,0.8626506024096385,5.404819277108434,0.19149897590361448,0.00503807778313253,0.17491638554216873,0.04245686746987947,218209.4,54.436144578313254,415
2021,Country,0.5753982683982688,0.7020173160173155,0.5235670995670993,122.1540216450216,-5.795761904761906,0.8744588744588745,5.251082251082251,0.20434996536796546,0.0025369165367965353,0.16190519480519477,0.05075108225108227,204989.22943722943,64.73160173160173,231
1926,Jazz,0.5785,0.311,0.8200000000000001,145.22899999999998,-13.4205,0.5,6.0,0.9795,0.0996,0.1225,0.07345,198927.0,13.5,2
1931,Jazz,0.668375,0.307375,0.70025,120.90012499999999,-11.95775,0.875,5.875,0.9486250000000002,0.47437457499999997,0.16662499999999997,0.05938750000000001,181798.375,8.125,8
1936,Jazz,0.6020476190476189,0.3009047619047619,0.6577285714285714,136.11114285714288,-12.385333333333332,0.7142857142857143,4.095238095238095,0.9370476190476189,0.5297793666666667,0.22167619047619047,0.06521428571428572,184607.52380952382,3.238095238095238,21
1941,Jazz,0.5730594059405941,0.3218821782178217,0.6411336633663366,123.61698019801983,-12.665851485148517,0.594059405940594,4.9504950495049505,0.8898316831683173,0.4708393391089108,0.2245009900990099,0.07524059405940595,178699.81188118813,8.485148514851485,101
1946,Jazz,0.5455233644859815,0.3186130841121495,0.5608364485981309,126.72815887850464,-13.330018691588778,0.7009345794392523,4.4485981308411215,0.8637757009345798,0.4817157732710278,0.19229158878504665,0.07828224299065421,198646.52336448597,4.336448598130841,107
1951,Jazz,0.4782537313432836,0.26927611940298507,0.48583507462686565,112.16805223880591,-16.042261194029848,0.6865671641791045,5.059701492537314,0.9077313432835821,0.5528960485074627,0.24950597014925377,0.0713432835820895,226493.59701492538,5.507462686567164,134
1956,Jazz,0.5199371584699456,0.30932484517304176,0.507143442622951,113.12064845173047,-14.393235883424394,0.599271402550091,4.895264116575592,0.835079143897997,0.4705372540892532,0.20744617486338807,0.05424234972677597,250091.40801457193,10.758652094717668,1098
1961,Jazz,0.5185005257623561,0.28285815983175583,0.4740432702418512,112.06669716088341,-15.264808096740284,0.580441640378549,4.723449001051525,0.7757429547844374,0.3419053687276548,0.17476083070452156,0.05902413249211351,304632.8422712934,18.30651945320715,1902
1966,Jazz,0.49344666666666664,0.31467206666666653,0.4397696666666668,111.01728333333347,-15.1621575,0.5483333333333333,4.8575,0.7475465666666673,0.3617994870833332,0.19885608333333343,0.05012291666666669,333098.9116666667,21.201666666666668,1200
1971,Jazz,0.5000552325581397,0.41304476744186047,0.4945456395348836,114.63491279069764,-14.235738372093023,0.5784883720930233,5.15406976744186,0.6119461046511631,0.42680573476744194,0.17786017441860455,0.04813459302325583,355143.29941860464,28.65988372093023,344
1976,Jazz,0.5049735999999999,0.5339224399999998,0.5838363999999997,117.15300799999997,-13.065212000000006,0.564,5.212,0.4682236383999999,0.5037387936400002,0.17226680000000003,0.0537692,417616.972,32.356,250
1981,Jazz,0.5492109375000002,0.4936330468750001,0.5811613281250001,112.89516015625,-13.846238281249997,0.55078125,5.390625,0.45753773437499995,0.4782059948437501,0.15551679687499997,0.04899921874999997,354002.98828125,32.8671875,256
1986,Jazz,0.5862740740740742,0.436402962962963,0.5591674074074074,110.03575555555555,-14.854533333333324,0.6074074074074074,5.503703703703704,0.47198651851851836,0.4176861147407407,0.18887851851851853,0.08468888888888888,315800.56296296295,34.992592592592594,135
