Frank Sinatra,267.1871453843734
Memphis Slim,137.37223138547887
Lester Young,131.06372665822136
Wolfgang Amadeus Mozart,85.1905706349146
Lata Mangeshkar,80.38581689763477
Dick Haymes,42.17767052797471
Asha Bhosle,29.269708724860582
Stan Getz,24.540143483176436
André Kostelanetz,19.049457282227046
Ben Webster,15.079773817568649
Alejandro Sanz,14.030915321246622
Charlie Ventura,11.64876787663583
Don Byas,7.58974178713447
Martha Raye,7.491849361144603
Alla Rakha,6.794051234223695
Rosemary Clooney,6.229634251389633
Carmen Miranda,5.88730782788435
